Timestamp,Steps,Time,Date
2018-04-11 11:59:00,15,11:59,2018-04-11
2018-04-11 12:00:00,97,12:00,2018-04-11
2018-04-11 12:01:00,1,12:01,2018-04-11
2018-04-11 12:02:00,0,12:02,2018-04-11
2018-04-11 12:03:00,41,12:03,2018-04-11
2018-04-11 12:04:00,59,12:04,2018-04-11
2018-04-11 12:05:00,94,12:05,2018-04-11
2018-04-11 12:06:00,94,12:06,2018-04-11
2018-04-11 12:07:00,82,12:07,2018-04-11
2018-04-11 12:08:00,0,12:08,2018-04-11
2018-04-11 12:09:00,84,12:09,2018-04-11
2018-04-11 12:10:00,81,12:10,2018-04-11
2018-04-11 12:11:00,95,12:11,2018-04-11
2018-04-11 12:12:00,91,12:12,2018-04-11
2018-04-11 12:13:00,87,12:13,2018-04-11
2018-04-11 12:14:00,62,12:14,2018-04-11
2018-04-11 12:15:00,30,12:15,2018-04-11
2018-04-11 12:16:00,16,12:16,2018-04-11
2018-04-11 12:17:00,58,12:17,2018-04-11
2018-04-11 12:18:00,89,12:18,2018-04-11
2018-04-11 12:19:00,100,12:19,2018-04-11
2018-04-11 12:20:00,97,12:20,2018-04-11
2018-04-11 12:21:00,88,12:21,2018-04-11
2018-04-11 12:22:00,91,12:22,2018-04-11
2018-04-11 12:23:00,89,12:23,2018-04-11
2018-04-11 12:24:00,97,12:24,2018-04-11
2018-04-11 12:25:00,68,12:25,2018-04-11
2018-04-11 12:26:00,45,12:26,2018-04-11
2018-04-11 12:27:00,93,12:27,2018-04-11
2018-04-11 12:28:00,92,12:28,2018-04-11
2018-04-11 12:29:00,87,12:29,2018-04-11
2018-04-11 12:30:00,88,12:30,2018-04-11
2018-04-11 12:31:00,65,12:31,2018-04-11
2018-04-11 12:32:00,17,12:32,2018-04-11
2018-04-11 12:33:00,0,12:33,2018-04-11
2018-04-11 12:34:00,33,12:34,2018-04-11
2018-04-11 12:35:00,80,12:35,2018-04-11
2018-04-11 12:36:00,92,12:36,2018-04-11
2018-04-11 12:37:00,86,12:37,2018-04-11
2018-04-11 12:38:00,87,12:38,2018-04-11
2018-04-11 12:39:00,75,12:39,2018-04-11
2018-04-11 12:40:00,86,12:40,2018-04-11
2018-04-11 12:41:00,92,12:41,2018-04-11
2018-04-11 12:42:00,49,12:42,2018-04-11
2018-04-11 12:43:00,12,12:43,2018-04-11
2018-04-11 12:44:00,89,12:44,2018-04-11
2018-04-11 12:45:00,60,12:45,2018-04-11
2018-04-11 12:46:00,68,12:46,2018-04-11
2018-04-11 12:47:00,89,12:47,2018-04-11
2018-04-11 12:48:00,83,12:48,2018-04-11
2018-04-11 12:49:00,2,12:49,2018-04-11
2018-04-11 12:50:00,0,12:50,2018-04-11
2018-04-11 12:51:00,0,12:51,2018-04-11
2018-04-11 12:52:00,68,12:52,2018-04-11
2018-04-11 12:53:00,93,12:53,2018-04-11
2018-04-11 12:54:00,91,12:54,2018-04-11
2018-04-11 12:55:00,87,12:55,2018-04-11
2018-04-11 12:56:00,43,12:56,2018-04-11
2018-04-11 12:57:00,0,12:57,2018-04-11
2018-04-11 12:58:00,0,12:58,2018-04-11
2018-04-11 12:59:00,0,12:59,2018-04-11
2018-04-11 13:00:00,11,13:00,2018-04-11
2018-04-11 13:01:00,39,13:01,2018-04-11
2018-04-11 13:02:00,71,13:02,2018-04-11
2018-04-11 13:03:00,90,13:03,2018-04-11
2018-04-11 13:04:00,98,13:04,2018-04-11
2018-04-11 13:05:00,100,13:05,2018-04-11
2018-04-11 13:06:00,103,13:06,2018-04-11
2018-04-11 13:07:00,96,13:07,2018-04-11
2018-04-11 13:08:00,45,13:08,2018-04-11
2018-04-11 13:09:00,29,13:09,2018-04-11
2018-04-11 13:10:00,0,13:10,2018-04-11
2018-04-11 13:11:00,0,13:11,2018-04-11
2018-04-11 13:12:00,35,13:12,2018-04-11
2018-04-11 13:13:00,72,13:13,2018-04-11
2018-04-11 13:14:00,91,13:14,2018-04-11
2018-04-11 13:15:00,95,13:15,2018-04-11
2018-04-11 13:16:00,90,13:16,2018-04-11
2018-04-11 13:17:00,85,13:17,2018-04-11
2018-04-11 13:18:00,81,13:18,2018-04-11
2018-04-11 13:19:00,2,13:19,2018-04-11
2018-04-11 13:20:00,0,13:20,2018-04-11
2018-04-11 13:21:00,20,13:21,2018-04-11
2018-04-11 13:22:00,0,13:22,2018-04-11
2018-04-11 13:23:00,7,13:23,2018-04-11
2018-04-11 13:24:00,0,13:24,2018-04-11
2018-04-11 13:25:00,0,13:25,2018-04-11
2018-04-11 13:26:00,34,13:26,2018-04-11
2018-04-11 13:27:00,92,13:27,2018-04-11
2018-04-11 13:28:00,84,13:28,2018-04-11
2018-04-11 13:29:00,70,13:29,2018-04-11
2018-04-11 13:30:00,81,13:30,2018-04-11
2018-04-11 13:31:00,0,13:31,2018-04-11
2018-04-11 13:32:00,8,13:32,2018-04-11
2018-04-11 13:33:00,51,13:33,2018-04-11
2018-04-11 13:34:00,97,13:34,2018-04-11
2018-04-11 13:35:00,98,13:35,2018-04-11
2018-04-11 13:36:00,58,13:36,2018-04-11
2018-04-11 13:37:00,0,13:37,2018-04-11
2018-04-11 13:38:00,0,13:38,2018-04-11
2018-04-11 13:39:00,0,13:39,2018-04-11
2018-04-11 13:40:00,0,13:40,2018-04-11
2018-04-11 13:41:00,13,13:41,2018-04-11
2018-04-11 13:42:00,17,13:42,2018-04-11
2018-04-11 13:43:00,50,13:43,2018-04-11
2018-04-11 13:44:00,34,13:44,2018-04-11
2018-04-11 13:45:00,0,13:45,2018-04-11
2018-04-11 13:46:00,0,13:46,2018-04-11
2018-04-11 13:47:00,0,13:47,2018-04-11
2018-04-11 13:48:00,49,13:48,2018-04-11
2018-04-11 13:49:00,102,13:49,2018-04-11
2018-04-11 13:50:00,107,13:50,2018-04-11
2018-04-11 13:51:00,105,13:51,2018-04-11
2018-04-11 13:52:00,106,13:52,2018-04-11
2018-04-11 13:53:00,108,13:53,2018-04-11
2018-04-11 13:54:00,111,13:54,2018-04-11
2018-04-11 13:55:00,108,13:55,2018-04-11
2018-04-11 13:56:00,92,13:56,2018-04-11
2018-04-11 13:57:00,103,13:57,2018-04-11
2018-04-11 13:58:00,108,13:58,2018-04-11
2018-04-11 13:59:00,101,13:59,2018-04-11
2018-04-11 14:00:00,98,14:00,2018-04-11
2018-04-11 14:01:00,100,14:01,2018-04-11
2018-04-11 14:02:00,105,14:02,2018-04-11
2018-04-11 14:03:00,101,14:03,2018-04-11
2018-04-11 14:04:00,109,14:04,2018-04-11
2018-04-11 14:05:00,108,14:05,2018-04-11
2018-04-11 14:06:00,98,14:06,2018-04-11
2018-04-11 14:07:00,44,14:07,2018-04-11
2018-04-11 14:08:00,92,14:08,2018-04-11
2018-04-11 14:09:00,100,14:09,2018-04-11
2018-04-11 14:10:00,102,14:10,2018-04-11
2018-04-11 14:11:00,99,14:11,2018-04-11
2018-04-11 14:12:00,103,14:12,2018-04-11
2018-04-11 14:13:00,100,14:13,2018-04-11
2018-04-11 14:14:00,100,14:14,2018-04-11
2018-04-11 14:15:00,104,14:15,2018-04-11
2018-04-11 14:16:00,102,14:16,2018-04-11
2018-04-11 14:17:00,106,14:17,2018-04-11
2018-04-11 14:18:00,100,14:18,2018-04-11
2018-04-11 14:19:00,44,14:19,2018-04-11
2018-04-11 14:20:00,8,14:20,2018-04-11
2018-04-11 14:21:00,0,14:21,2018-04-11
2018-04-11 14:22:00,0,14:22,2018-04-11
2018-04-11 14:23:00,0,14:23,2018-04-11
2018-04-11 14:24:00,0,14:24,2018-04-11
2018-04-11 14:25:00,0,14:25,2018-04-11
2018-04-11 14:26:00,0,14:26,2018-04-11
2018-04-11 14:27:00,0,14:27,2018-04-11
2018-04-11 14:28:00,0,14:28,2018-04-11
2018-04-11 14:29:00,0,14:29,2018-04-11
2018-04-11 14:30:00,28,14:30,2018-04-11
2018-04-11 14:31:00,99,14:31,2018-04-11
2018-04-11 14:32:00,98,14:32,2018-04-11
2018-04-11 14:33:00,89,14:33,2018-04-11
2018-04-11 14:34:00,94,14:34,2018-04-11
2018-04-11 14:35:00,97,14:35,2018-04-11
2018-04-11 14:36:00,91,14:36,2018-04-11
2018-04-11 14:37:00,90,14:37,2018-04-11
2018-04-11 14:38:00,89,14:38,2018-04-11
2018-04-11 14:39:00,94,14:39,2018-04-11
2018-04-11 14:40:00,64,14:40,2018-04-11
2018-04-11 14:41:00,77,14:41,2018-04-11
2018-04-11 14:42:00,86,14:42,2018-04-11
2018-04-11 14:43:00,85,14:43,2018-04-11
2018-04-11 14:44:00,93,14:44,2018-04-11
2018-04-11 14:45:00,91,14:45,2018-04-11
2018-04-11 14:46:00,97,14:46,2018-04-11
2018-04-11 14:47:00,64,14:47,2018-04-11
2018-04-11 14:48:00,63,14:48,2018-04-11
2018-04-11 14:49:00,98,14:49,2018-04-11
2018-04-11 14:50:00,101,14:50,2018-04-11
2018-04-11 14:51:00,95,14:51,2018-04-11
2018-04-11 14:52:00,88,14:52,2018-04-11
2018-04-11 14:53:00,93,14:53,2018-04-11
2018-04-11 14:54:00,99,14:54,2018-04-11
2018-04-11 14:55:00,73,14:55,2018-04-11
2018-04-11 14:56:00,99,14:56,2018-04-11
2018-04-11 14:57:00,102,14:57,2018-04-11
2018-04-11 14:58:00,99,14:58,2018-04-11
2018-04-11 14:59:00,98,14:59,2018-04-11
2018-04-11 15:00:00,97,15:00,2018-04-11
2018-04-11 15:01:00,79,15:01,2018-04-11
2018-04-11 15:02:00,98,15:02,2018-04-11
2018-04-11 15:03:00,94,15:03,2018-04-11
2018-04-11 15:04:00,92,15:04,2018-04-11
2018-04-11 15:05:00,94,15:05,2018-04-11
2018-04-11 15:06:00,96,15:06,2018-04-11
2018-04-11 15:07:00,104,15:07,2018-04-11
2018-04-11 15:08:00,97,15:08,2018-04-11
2018-04-11 15:09:00,100,15:09,2018-04-11
2018-04-11 15:10:00,101,15:10,2018-04-11
2018-04-11 15:11:00,101,15:11,2018-04-11
2018-04-11 15:12:00,96,15:12,2018-04-11
2018-04-11 15:13:00,106,15:13,2018-04-11
2018-04-11 15:14:00,100,15:14,2018-04-11
2018-04-11 15:15:00,98,15:15,2018-04-11
2018-04-11 15:16:00,92,15:16,2018-04-11
2018-04-11 15:17:00,98,15:17,2018-04-11
2018-04-11 15:18:00,106,15:18,2018-04-11
2018-04-11 15:19:00,94,15:19,2018-04-11
2018-04-11 15:20:00,101,15:20,2018-04-11
2018-04-11 15:21:00,106,15:21,2018-04-11
2018-04-11 15:22:00,107,15:22,2018-04-11
2018-04-11 15:23:00,109,15:23,2018-04-11
2018-04-11 15:24:00,111,15:24,2018-04-11
2018-04-11 15:25:00,107,15:25,2018-04-11
2018-04-11 15:26:00,108,15:26,2018-04-11
2018-04-11 15:27:00,111,15:27,2018-04-11
2018-04-11 15:28:00,115,15:28,2018-04-11
2018-04-11 15:29:00,110,15:29,2018-04-11
2018-04-11 15:30:00,108,15:30,2018-04-11
2018-04-11 15:31:00,106,15:31,2018-04-11
2018-04-11 15:32:00,106,15:32,2018-04-11
2018-04-11 15:33:00,105,15:33,2018-04-11
2018-04-11 15:34:00,102,15:34,2018-04-11
2018-04-11 15:35:00,77,15:35,2018-04-11
