,Elevation,Time
0,0,00:00:00
1,0,00:01:00
2,0,00:02:00
3,0,00:03:00
4,0,00:04:00
5,0,00:05:00
6,0,00:06:00
7,0,00:07:00
8,0,00:08:00
9,0,00:09:00
10,0,00:10:00
11,0,00:11:00
12,0,00:12:00
13,0,00:13:00
14,0,00:14:00
15,0,00:15:00
16,0,00:16:00
17,0,00:17:00
18,0,00:18:00
19,0,00:19:00
20,0,00:20:00
21,0,00:21:00
22,0,00:22:00
23,0,00:23:00
24,0,00:24:00
25,0,00:25:00
26,0,00:26:00
27,0,00:27:00
28,0,00:28:00
29,0,00:29:00
30,0,00:30:00
31,0,00:31:00
32,0,00:32:00
33,0,00:33:00
34,0,00:34:00
35,0,00:35:00
36,0,00:36:00
37,0,00:37:00
38,0,00:38:00
39,0,00:39:00
40,0,00:40:00
41,0,00:41:00
42,0,00:42:00
43,0,00:43:00
44,0,00:44:00
45,0,00:45:00
46,0,00:46:00
47,0,00:47:00
48,0,00:48:00
49,0,00:49:00
50,0,00:50:00
51,0,00:51:00
52,0,00:52:00
53,0,00:53:00
54,0,00:54:00
55,0,00:55:00
56,0,00:56:00
57,0,00:57:00
58,0,00:58:00
59,0,00:59:00
60,0,01:00:00
61,0,01:01:00
62,0,01:02:00
63,0,01:03:00
64,0,01:04:00
65,0,01:05:00
66,0,01:06:00
67,0,01:07:00
68,0,01:08:00
69,0,01:09:00
70,0,01:10:00
71,0,01:11:00
72,0,01:12:00
73,0,01:13:00
74,0,01:14:00
75,0,01:15:00
76,0,01:16:00
77,0,01:17:00
78,0,01:18:00
79,0,01:19:00
80,0,01:20:00
81,0,01:21:00
82,0,01:22:00
83,0,01:23:00
84,0,01:24:00
85,0,01:25:00
86,0,01:26:00
87,0,01:27:00
88,0,01:28:00
89,0,01:29:00
90,0,01:30:00
91,0,01:31:00
92,0,01:32:00
93,0,01:33:00
94,0,01:34:00
95,0,01:35:00
96,0,01:36:00
97,0,01:37:00
98,0,01:38:00
99,0,01:39:00
100,0,01:40:00
101,0,01:41:00
102,0,01:42:00
103,0,01:43:00
104,0,01:44:00
105,0,01:45:00
106,0,01:46:00
107,0,01:47:00
108,0,01:48:00
109,0,01:49:00
110,0,01:50:00
111,0,01:51:00
112,0,01:52:00
113,0,01:53:00
114,0,01:54:00
115,0,01:55:00
116,0,01:56:00
117,0,01:57:00
118,0,01:58:00
119,0,01:59:00
120,0,02:00:00
121,0,02:01:00
122,0,02:02:00
123,0,02:03:00
124,0,02:04:00
125,0,02:05:00
126,0,02:06:00
127,0,02:07:00
128,0,02:08:00
129,0,02:09:00
130,0,02:10:00
131,0,02:11:00
132,0,02:12:00
133,0,02:13:00
134,0,02:14:00
135,0,02:15:00
136,0,02:16:00
137,0,02:17:00
138,0,02:18:00
139,0,02:19:00
140,0,02:20:00
141,0,02:21:00
142,0,02:22:00
143,0,02:23:00
144,0,02:24:00
145,0,02:25:00
146,0,02:26:00
147,0,02:27:00
148,0,02:28:00
149,0,02:29:00
150,0,02:30:00
151,0,02:31:00
152,0,02:32:00
153,0,02:33:00
154,0,02:34:00
155,0,02:35:00
156,0,02:36:00
157,0,02:37:00
158,0,02:38:00
159,0,02:39:00
160,0,02:40:00
161,0,02:41:00
162,0,02:42:00
163,0,02:43:00
164,0,02:44:00
165,0,02:45:00
166,0,02:46:00
167,0,02:47:00
168,0,02:48:00
169,0,02:49:00
170,0,02:50:00
171,0,02:51:00
172,0,02:52:00
173,0,02:53:00
174,0,02:54:00
175,0,02:55:00
176,0,02:56:00
177,0,02:57:00
178,0,02:58:00
179,0,02:59:00
180,0,03:00:00
181,0,03:01:00
182,0,03:02:00
183,0,03:03:00
184,0,03:04:00
185,0,03:05:00
186,0,03:06:00
187,0,03:07:00
188,0,03:08:00
189,0,03:09:00
190,0,03:10:00
191,0,03:11:00
192,0,03:12:00
193,0,03:13:00
194,0,03:14:00
195,0,03:15:00
196,0,03:16:00
197,0,03:17:00
198,0,03:18:00
199,0,03:19:00
200,0,03:20:00
201,0,03:21:00
202,0,03:22:00
203,0,03:23:00
204,0,03:24:00
205,0,03:25:00
206,0,03:26:00
207,0,03:27:00
208,0,03:28:00
209,0,03:29:00
210,0,03:30:00
211,0,03:31:00
212,0,03:32:00
213,0,03:33:00
214,0,03:34:00
215,0,03:35:00
216,0,03:36:00
217,0,03:37:00
218,0,03:38:00
219,0,03:39:00
220,0,03:40:00
221,0,03:41:00
222,0,03:42:00
223,0,03:43:00
224,0,03:44:00
225,0,03:45:00
226,0,03:46:00
227,0,03:47:00
228,0,03:48:00
229,0,03:49:00
230,0,03:50:00
231,0,03:51:00
232,0,03:52:00
233,0,03:53:00
234,0,03:54:00
235,0,03:55:00
236,0,03:56:00
237,0,03:57:00
238,0,03:58:00
239,0,03:59:00
240,0,04:00:00
241,0,04:01:00
242,0,04:02:00
243,0,04:03:00
244,0,04:04:00
245,0,04:05:00
246,0,04:06:00
247,0,04:07:00
248,0,04:08:00
249,0,04:09:00
250,0,04:10:00
251,0,04:11:00
252,0,04:12:00
253,0,04:13:00
254,0,04:14:00
255,0,04:15:00
256,0,04:16:00
257,0,04:17:00
258,0,04:18:00
259,0,04:19:00
260,0,04:20:00
261,0,04:21:00
262,0,04:22:00
263,0,04:23:00
264,0,04:24:00
265,0,04:25:00
266,0,04:26:00
267,0,04:27:00
268,0,04:28:00
269,0,04:29:00
270,0,04:30:00
271,0,04:31:00
272,0,04:32:00
273,0,04:33:00
274,0,04:34:00
275,0,04:35:00
276,0,04:36:00
277,0,04:37:00
278,0,04:38:00
279,0,04:39:00
280,0,04:40:00
281,0,04:41:00
282,0,04:42:00
283,0,04:43:00
284,0,04:44:00
285,0,04:45:00
286,0,04:46:00
287,0,04:47:00
288,0,04:48:00
289,0,04:49:00
290,0,04:50:00
291,0,04:51:00
292,0,04:52:00
293,0,04:53:00
294,0,04:54:00
295,0,04:55:00
296,0,04:56:00
297,0,04:57:00
298,0,04:58:00
299,0,04:59:00
300,0,05:00:00
301,0,05:01:00
302,0,05:02:00
303,0,05:03:00
304,0,05:04:00
305,0,05:05:00
306,0,05:06:00
307,0,05:07:00
308,0,05:08:00
309,0,05:09:00
310,0,05:10:00
311,0,05:11:00
312,0,05:12:00
313,0,05:13:00
314,0,05:14:00
315,0,05:15:00
316,0,05:16:00
317,0,05:17:00
318,0,05:18:00
319,0,05:19:00
320,0,05:20:00
321,0,05:21:00
322,0,05:22:00
323,0,05:23:00
324,0,05:24:00
325,0,05:25:00
326,0,05:26:00
327,0,05:27:00
328,0,05:28:00
329,0,05:29:00
330,0,05:30:00
331,0,05:31:00
332,0,05:32:00
333,0,05:33:00
334,0,05:34:00
335,0,05:35:00
336,0,05:36:00
337,0,05:37:00
338,0,05:38:00
339,0,05:39:00
340,0,05:40:00
341,0,05:41:00
342,0,05:42:00
343,0,05:43:00
344,0,05:44:00
345,0,05:45:00
346,0,05:46:00
347,0,05:47:00
348,0,05:48:00
349,0,05:49:00
350,0,05:50:00
351,0,05:51:00
352,0,05:52:00
353,0,05:53:00
354,0,05:54:00
355,0,05:55:00
356,0,05:56:00
357,0,05:57:00
358,0,05:58:00
359,0,05:59:00
360,0,06:00:00
361,0,06:01:00
362,0,06:02:00
363,0,06:03:00
364,0,06:04:00
365,0,06:05:00
366,0,06:06:00
367,0,06:07:00
368,0,06:08:00
369,0,06:09:00
370,0,06:10:00
371,0,06:11:00
372,0,06:12:00
373,0,06:13:00
374,0,06:14:00
375,0,06:15:00
376,0,06:16:00
377,0,06:17:00
378,0,06:18:00
379,0,06:19:00
380,0,06:20:00
381,0,06:21:00
382,0,06:22:00
383,0,06:23:00
384,0,06:24:00
385,0,06:25:00
386,0,06:26:00
387,0,06:27:00
388,0,06:28:00
389,0,06:29:00
390,0,06:30:00
391,0,06:31:00
392,0,06:32:00
393,0,06:33:00
394,0,06:34:00
395,0,06:35:00
396,0,06:36:00
397,0,06:37:00
398,0,06:38:00
399,0,06:39:00
400,0,06:40:00
401,0,06:41:00
402,0,06:42:00
403,0,06:43:00
404,0,06:44:00
405,0,06:45:00
406,0,06:46:00
407,0,06:47:00
408,0,06:48:00
409,0,06:49:00
410,0,06:50:00
411,0,06:51:00
412,0,06:52:00
413,0,06:53:00
414,0,06:54:00
415,0,06:55:00
416,0,06:56:00
417,0,06:57:00
418,0,06:58:00
419,0,06:59:00
420,0,07:00:00
421,0,07:01:00
422,0,07:02:00
423,0,07:03:00
424,0,07:04:00
425,0,07:05:00
426,0,07:06:00
427,0,07:07:00
428,0,07:08:00
429,0,07:09:00
430,0,07:10:00
431,0,07:11:00
432,0,07:12:00
433,0,07:13:00
434,0,07:14:00
435,0,07:15:00
436,0,07:16:00
437,0,07:17:00
438,0,07:18:00
439,0,07:19:00
440,0,07:20:00
441,0,07:21:00
442,0,07:22:00
443,0,07:23:00
444,0,07:24:00
445,0,07:25:00
446,0,07:26:00
447,0,07:27:00
448,0,07:28:00
449,0,07:29:00
450,0,07:30:00
451,0,07:31:00
452,0,07:32:00
453,0,07:33:00
454,0,07:34:00
455,0,07:35:00
456,0,07:36:00
457,0,07:37:00
458,0,07:38:00
459,0,07:39:00
460,0,07:40:00
461,0,07:41:00
462,0,07:42:00
463,0,07:43:00
464,0,07:44:00
465,0,07:45:00
466,0,07:46:00
467,0,07:47:00
468,0,07:48:00
469,0,07:49:00
470,0,07:50:00
471,0,07:51:00
472,0,07:52:00
473,0,07:53:00
474,0,07:54:00
475,0,07:55:00
476,0,07:56:00
477,0,07:57:00
478,0,07:58:00
479,0,07:59:00
480,0,08:00:00
481,0,08:01:00
482,0,08:02:00
483,0,08:03:00
484,0,08:04:00
485,0,08:05:00
486,0,08:06:00
487,0,08:07:00
488,0,08:08:00
489,0,08:09:00
490,0,08:10:00
491,0,08:11:00
492,0,08:12:00
493,0,08:13:00
494,0,08:14:00
495,0,08:15:00
496,0,08:16:00
497,0,08:17:00
498,0,08:18:00
499,0,08:19:00
500,0,08:20:00
501,0,08:21:00
502,0,08:22:00
503,0,08:23:00
504,0,08:24:00
505,0,08:25:00
506,0,08:26:00
507,0,08:27:00
508,0,08:28:00
509,0,08:29:00
510,0,08:30:00
511,0,08:31:00
512,0,08:32:00
513,0,08:33:00
514,0,08:34:00
515,0,08:35:00
516,0,08:36:00
517,0,08:37:00
518,0,08:38:00
519,0,08:39:00
520,0,08:40:00
521,0,08:41:00
522,0,08:42:00
523,0,08:43:00
524,0,08:44:00
525,0,08:45:00
526,0,08:46:00
527,0,08:47:00
528,0,08:48:00
529,0,08:49:00
530,0,08:50:00
531,0,08:51:00
532,0,08:52:00
533,0,08:53:00
534,0,08:54:00
535,0,08:55:00
536,0,08:56:00
537,0,08:57:00
538,0,08:58:00
539,0,08:59:00
540,0,09:00:00
541,0,09:01:00
542,0,09:02:00
543,0,09:03:00
544,0,09:04:00
545,0,09:05:00
546,0,09:06:00
547,0,09:07:00
548,0,09:08:00
549,0,09:09:00
550,0,09:10:00
551,0,09:11:00
552,0,09:12:00
553,0,09:13:00
554,0,09:14:00
555,0,09:15:00
556,0,09:16:00
557,0,09:17:00
558,0,09:18:00
559,0,09:19:00
560,0,09:20:00
561,0,09:21:00
562,0,09:22:00
563,0,09:23:00
564,0,09:24:00
565,0,09:25:00
566,0,09:26:00
567,0,09:27:00
568,0,09:28:00
569,0,09:29:00
570,0,09:30:00
571,0,09:31:00
572,0,09:32:00
573,0,09:33:00
574,0,09:34:00
575,0,09:35:00
576,0,09:36:00
577,0,09:37:00
578,0,09:38:00
579,20,09:39:00
580,0,09:40:00
581,0,09:41:00
582,0,09:42:00
583,0,09:43:00
584,0,09:44:00
585,0,09:45:00
586,0,09:46:00
587,0,09:47:00
588,0,09:48:00
589,0,09:49:00
590,0,09:50:00
591,0,09:51:00
592,0,09:52:00
593,0,09:53:00
594,0,09:54:00
595,0,09:55:00
596,0,09:56:00
597,0,09:57:00
598,0,09:58:00
599,0,09:59:00
600,0,10:00:00
601,0,10:01:00
602,0,10:02:00
603,0,10:03:00
604,0,10:04:00
605,0,10:05:00
606,0,10:06:00
607,0,10:07:00
608,0,10:08:00
609,0,10:09:00
610,0,10:10:00
611,0,10:11:00
612,0,10:12:00
613,0,10:13:00
614,0,10:14:00
615,0,10:15:00
616,0,10:16:00
617,0,10:17:00
618,0,10:18:00
619,0,10:19:00
620,0,10:20:00
621,0,10:21:00
622,0,10:22:00
623,0,10:23:00
624,0,10:24:00
625,0,10:25:00
626,0,10:26:00
627,0,10:27:00
628,0,10:28:00
629,0,10:29:00
630,0,10:30:00
631,0,10:31:00
632,0,10:32:00
633,0,10:33:00
634,0,10:34:00
635,0,10:35:00
636,0,10:36:00
637,0,10:37:00
638,0,10:38:00
639,0,10:39:00
640,0,10:40:00
641,0,10:41:00
642,0,10:42:00
643,0,10:43:00
644,0,10:44:00
645,0,10:45:00
646,0,10:46:00
647,0,10:47:00
648,0,10:48:00
649,0,10:49:00
650,0,10:50:00
651,0,10:51:00
652,0,10:52:00
653,0,10:53:00
654,0,10:54:00
655,0,10:55:00
656,0,10:56:00
657,0,10:57:00
658,0,10:58:00
659,0,10:59:00
660,0,11:00:00
661,0,11:01:00
662,0,11:02:00
663,0,11:03:00
664,0,11:04:00
665,0,11:05:00
666,0,11:06:00
667,0,11:07:00
668,0,11:08:00
669,0,11:09:00
670,0,11:10:00
671,0,11:11:00
672,0,11:12:00
673,0,11:13:00
674,0,11:14:00
675,0,11:15:00
676,0,11:16:00
677,0,11:17:00
678,0,11:18:00
679,0,11:19:00
680,0,11:20:00
681,0,11:21:00
682,0,11:22:00
683,0,11:23:00
684,0,11:24:00
685,0,11:25:00
686,0,11:26:00
687,0,11:27:00
688,0,11:28:00
689,0,11:29:00
690,0,11:30:00
691,0,11:31:00
692,0,11:32:00
693,0,11:33:00
694,0,11:34:00
695,0,11:35:00
696,0,11:36:00
697,0,11:37:00
698,0,11:38:00
699,0,11:39:00
700,0,11:40:00
701,0,11:41:00
702,0,11:42:00
703,0,11:43:00
704,0,11:44:00
705,0,11:45:00
706,0,11:46:00
707,0,11:47:00
708,0,11:48:00
709,0,11:49:00
710,0,11:50:00
711,0,11:51:00
712,0,11:52:00
713,0,11:53:00
714,0,11:54:00
715,0,11:55:00
716,0,11:56:00
717,0,11:57:00
718,0,11:58:00
719,0,11:59:00
720,10,12:00:00
721,0,12:01:00
722,0,12:02:00
723,0,12:03:00
724,20,12:04:00
725,10,12:05:00
726,20,12:06:00
727,10,12:07:00
728,0,12:08:00
729,20,12:09:00
730,20,12:10:00
731,30,12:11:00
732,40,12:12:00
733,40,12:13:00
734,30,12:14:00
735,0,12:15:00
736,0,12:16:00
737,10,12:17:00
738,10,12:18:00
739,10,12:19:00
740,40,12:20:00
741,40,12:21:00
742,30,12:22:00
743,30,12:23:00
744,10,12:24:00
745,20,12:25:00
746,0,12:26:00
747,20,12:27:00
748,40,12:28:00
749,30,12:29:00
750,30,12:30:00
751,20,12:31:00
752,0,12:32:00
753,0,12:33:00
754,0,12:34:00
755,10,12:35:00
756,40,12:36:00
757,30,12:37:00
758,40,12:38:00
759,20,12:39:00
760,30,12:40:00
761,30,12:41:00
762,20,12:42:00
763,0,12:43:00
764,40,12:44:00
765,30,12:45:00
766,40,12:46:00
767,30,12:47:00
768,30,12:48:00
769,0,12:49:00
770,0,12:50:00
771,0,12:51:00
772,30,12:52:00
773,30,12:53:00
774,40,12:54:00
775,30,12:55:00
776,30,12:56:00
777,0,12:57:00
778,0,12:58:00
779,0,12:59:00
780,0,13:00:00
781,10,13:01:00
782,0,13:02:00
783,10,13:03:00
784,20,13:04:00
785,10,13:05:00
786,0,13:06:00
787,20,13:07:00
788,10,13:08:00
789,10,13:09:00
790,0,13:10:00
791,0,13:11:00
792,10,13:12:00
793,20,13:13:00
794,40,13:14:00
795,20,13:15:00
796,40,13:16:00
797,20,13:17:00
798,40,13:18:00
799,0,13:19:00
800,0,13:20:00
801,0,13:21:00
802,0,13:22:00
803,0,13:23:00
804,0,13:24:00
805,0,13:25:00
806,10,13:26:00
807,50,13:27:00
808,20,13:28:00
809,20,13:29:00
810,20,13:30:00
811,0,13:31:00
812,0,13:32:00
813,20,13:33:00
814,30,13:34:00
815,20,13:35:00
816,0,13:36:00
817,0,13:37:00
818,0,13:38:00
819,0,13:39:00
820,0,13:40:00
821,0,13:41:00
822,0,13:42:00
823,10,13:43:00
824,0,13:44:00
825,0,13:45:00
826,0,13:46:00
827,0,13:47:00
828,0,13:48:00
829,0,13:49:00
830,0,13:50:00
831,0,13:51:00
832,0,13:52:00
833,0,13:53:00
834,0,13:54:00
835,0,13:55:00
836,0,13:56:00
837,0,13:57:00
838,0,13:58:00
839,0,13:59:00
840,0,14:00:00
841,0,14:01:00
842,0,14:02:00
843,0,14:03:00
844,0,14:04:00
845,0,14:05:00
846,0,14:06:00
847,0,14:07:00
848,0,14:08:00
849,0,14:09:00
850,0,14:10:00
851,0,14:11:00
852,0,14:12:00
853,0,14:13:00
854,0,14:14:00
855,0,14:15:00
856,0,14:16:00
857,0,14:17:00
858,0,14:18:00
859,0,14:19:00
860,0,14:20:00
861,0,14:21:00
862,0,14:22:00
863,0,14:23:00
864,0,14:24:00
865,0,14:25:00
866,0,14:26:00
867,0,14:27:00
868,0,14:28:00
869,0,14:29:00
870,0,14:30:00
871,0,14:31:00
872,0,14:32:00
873,0,14:33:00
874,10,14:34:00
875,10,14:35:00
876,40,14:36:00
877,20,14:37:00
878,30,14:38:00
879,0,14:39:00
880,0,14:40:00
881,10,14:41:00
882,0,14:42:00
883,10,14:43:00
884,10,14:44:00
885,0,14:45:00
886,10,14:46:00
887,0,14:47:00
888,0,14:48:00
889,0,14:49:00
890,10,14:50:00
891,0,14:51:00
892,0,14:52:00
893,0,14:53:00
894,10,14:54:00
895,0,14:55:00
896,0,14:56:00
897,0,14:57:00
898,0,14:58:00
899,0,14:59:00
900,0,15:00:00
901,0,15:01:00
902,0,15:02:00
903,0,15:03:00
904,10,15:04:00
905,10,15:05:00
906,0,15:06:00
907,10,15:07:00
908,0,15:08:00
909,0,15:09:00
910,10,15:10:00
911,0,15:11:00
912,0,15:12:00
913,0,15:13:00
914,10,15:14:00
915,10,15:15:00
916,0,15:16:00
917,10,15:17:00
918,0,15:18:00
919,20,15:19:00
920,10,15:20:00
921,0,15:21:00
922,0,15:22:00
923,0,15:23:00
924,0,15:24:00
925,0,15:25:00
926,0,15:26:00
927,0,15:27:00
928,0,15:28:00
929,0,15:29:00
930,0,15:30:00
931,0,15:31:00
932,0,15:32:00
933,0,15:33:00
934,0,15:34:00
935,0,15:35:00
936,0,15:36:00
937,0,15:37:00
938,0,15:38:00
939,0,15:39:00
940,0,15:40:00
941,0,15:41:00
942,0,15:42:00
943,0,15:43:00
944,0,15:44:00
945,0,15:45:00
946,0,15:46:00
947,0,15:47:00
948,0,15:48:00
949,0,15:49:00
950,0,15:50:00
951,0,15:51:00
952,0,15:52:00
953,0,15:53:00
954,0,15:54:00
955,0,15:55:00
956,0,15:56:00
957,0,15:57:00
958,0,15:58:00
959,0,15:59:00
960,0,16:00:00
961,0,16:01:00
962,0,16:02:00
963,0,16:03:00
964,0,16:04:00
965,0,16:05:00
966,0,16:06:00
967,0,16:07:00
968,0,16:08:00
969,0,16:09:00
970,0,16:10:00
971,0,16:11:00
972,0,16:12:00
973,0,16:13:00
974,0,16:14:00
975,0,16:15:00
976,0,16:16:00
977,0,16:17:00
978,0,16:18:00
979,0,16:19:00
980,0,16:20:00
981,0,16:21:00
982,0,16:22:00
983,0,16:23:00
984,0,16:24:00
985,0,16:25:00
986,0,16:26:00
987,0,16:27:00
988,0,16:28:00
989,0,16:29:00
990,0,16:30:00
991,0,16:31:00
992,0,16:32:00
993,0,16:33:00
994,0,16:34:00
995,0,16:35:00
996,0,16:36:00
997,0,16:37:00
998,0,16:38:00
999,0,16:39:00
1000,0,16:40:00
1001,0,16:41:00
1002,0,16:42:00
1003,0,16:43:00
1004,0,16:44:00
1005,0,16:45:00
1006,0,16:46:00
1007,0,16:47:00
1008,0,16:48:00
1009,0,16:49:00
1010,0,16:50:00
1011,0,16:51:00
1012,0,16:52:00
1013,0,16:53:00
1014,0,16:54:00
1015,0,16:55:00
1016,0,16:56:00
1017,0,16:57:00
1018,0,16:58:00
1019,0,16:59:00
1020,0,17:00:00
1021,0,17:01:00
1022,0,17:02:00
1023,0,17:03:00
1024,0,17:04:00
1025,0,17:05:00
1026,0,17:06:00
1027,0,17:07:00
1028,0,17:08:00
1029,0,17:09:00
1030,0,17:10:00
1031,0,17:11:00
1032,0,17:12:00
1033,0,17:13:00
1034,0,17:14:00
1035,0,17:15:00
1036,0,17:16:00
1037,0,17:17:00
1038,0,17:18:00
1039,0,17:19:00
1040,0,17:20:00
1041,0,17:21:00
1042,0,17:22:00
1043,0,17:23:00
1044,0,17:24:00
1045,0,17:25:00
1046,0,17:26:00
1047,0,17:27:00
1048,0,17:28:00
1049,0,17:29:00
1050,0,17:30:00
1051,0,17:31:00
1052,0,17:32:00
1053,0,17:33:00
1054,0,17:34:00
1055,0,17:35:00
1056,0,17:36:00
1057,0,17:37:00
1058,0,17:38:00
1059,0,17:39:00
1060,0,17:40:00
1061,0,17:41:00
1062,0,17:42:00
1063,0,17:43:00
1064,0,17:44:00
1065,0,17:45:00
1066,0,17:46:00
1067,0,17:47:00
1068,0,17:48:00
1069,0,17:49:00
1070,0,17:50:00
1071,0,17:51:00
1072,0,17:52:00
1073,0,17:53:00
1074,0,17:54:00
1075,0,17:55:00
1076,0,17:56:00
1077,0,17:57:00
1078,0,17:58:00
1079,0,17:59:00
1080,0,18:00:00
1081,0,18:01:00
1082,0,18:02:00
1083,0,18:03:00
1084,0,18:04:00
1085,0,18:05:00
1086,0,18:06:00
1087,0,18:07:00
1088,0,18:08:00
1089,0,18:09:00
1090,0,18:10:00
1091,0,18:11:00
1092,0,18:12:00
1093,0,18:13:00
1094,0,18:14:00
1095,0,18:15:00
1096,0,18:16:00
1097,10,18:17:00
1098,0,18:18:00
1099,0,18:19:00
1100,0,18:20:00
1101,0,18:21:00
1102,0,18:22:00
1103,0,18:23:00
1104,0,18:24:00
1105,0,18:25:00
1106,0,18:26:00
1107,0,18:27:00
1108,0,18:28:00
1109,0,18:29:00
1110,0,18:30:00
1111,0,18:31:00
1112,0,18:32:00
1113,0,18:33:00
1114,0,18:34:00
1115,0,18:35:00
1116,0,18:36:00
1117,0,18:37:00
1118,0,18:38:00
1119,0,18:39:00
1120,0,18:40:00
1121,0,18:41:00
1122,0,18:42:00
1123,0,18:43:00
1124,0,18:44:00
1125,0,18:45:00
1126,0,18:46:00
1127,0,18:47:00
1128,0,18:48:00
1129,0,18:49:00
1130,0,18:50:00
1131,0,18:51:00
1132,0,18:52:00
1133,0,18:53:00
1134,0,18:54:00
1135,0,18:55:00
1136,0,18:56:00
1137,0,18:57:00
1138,0,18:58:00
1139,0,18:59:00
1140,0,19:00:00
1141,0,19:01:00
1142,0,19:02:00
1143,0,19:03:00
1144,0,19:04:00
1145,0,19:05:00
1146,0,19:06:00
1147,0,19:07:00
1148,0,19:08:00
1149,0,19:09:00
1150,0,19:10:00
1151,0,19:11:00
1152,0,19:12:00
1153,0,19:13:00
1154,0,19:14:00
1155,0,19:15:00
1156,0,19:16:00
1157,0,19:17:00
1158,0,19:18:00
1159,0,19:19:00
1160,0,19:20:00
1161,0,19:21:00
1162,0,19:22:00
1163,0,19:23:00
1164,0,19:24:00
1165,0,19:25:00
1166,0,19:26:00
1167,0,19:27:00
1168,0,19:28:00
1169,0,19:29:00
1170,0,19:30:00
1171,0,19:31:00
1172,0,19:32:00
1173,0,19:33:00
1174,0,19:34:00
1175,0,19:35:00
1176,0,19:36:00
1177,0,19:37:00
1178,0,19:38:00
1179,0,19:39:00
1180,0,19:40:00
1181,0,19:41:00
1182,0,19:42:00
1183,0,19:43:00
1184,0,19:44:00
1185,0,19:45:00
1186,0,19:46:00
