,Heart Rate,Time
0,60,00:00:12
1,62,00:00:17
2,62,00:00:32
3,63,00:00:47
4,62,00:00:52
5,62,00:01:07
6,62,00:01:22
7,62,00:01:27
8,62,00:01:42
9,62,00:01:57
10,63,00:02:02
11,63,00:02:17
12,63,00:02:19
13,64,00:02:24
14,67,00:02:29
15,68,00:02:39
16,79,00:02:49
17,81,00:02:54
18,81,00:03:09
19,82,00:03:19
20,81,00:03:29
21,82,00:03:39
22,81,00:03:49
23,81,00:04:04
24,82,00:04:19
25,82,00:04:29
26,81,00:04:39
27,81,00:04:54
28,80,00:04:59
29,78,00:05:04
30,79,00:05:19
31,78,00:05:24
32,77,00:05:29
33,77,00:05:44
34,75,00:05:49
35,72,00:05:54
36,70,00:05:59
37,70,00:06:04
38,70,00:06:11
39,71,00:06:21
40,72,00:06:26
41,73,00:06:31
42,75,00:06:36
43,78,00:06:41
44,78,00:06:46
45,79,00:06:51
46,79,00:06:56
47,79,00:07:11
48,80,00:07:26
49,80,00:07:41
50,81,00:07:46
51,81,00:08:01
52,78,00:08:16
53,78,00:08:21
54,74,00:08:26
55,71,00:08:31
56,70,00:08:36
57,69,00:08:41
58,69,00:08:56
59,73,00:09:01
60,71,00:09:06
61,69,00:09:16
62,68,00:09:21
63,67,00:09:26
64,66,00:09:31
65,67,00:09:38
66,68,00:09:43
67,70,00:09:53
68,72,00:09:58
69,69,00:10:03
70,68,00:10:08
71,66,00:10:13
72,65,00:10:18
73,65,00:10:33
74,64,00:10:43
75,64,00:10:58
76,65,00:11:03
77,66,00:11:13
78,65,00:11:28
79,68,00:11:33
80,71,00:11:38
81,67,00:11:43
82,66,00:11:48
83,63,00:12:03
84,64,00:12:13
85,65,00:12:18
86,64,00:12:23
87,64,00:12:38
88,65,00:12:53
89,64,00:13:03
90,63,00:13:08
91,64,00:13:13
92,64,00:13:20
93,63,00:13:25
94,65,00:13:35
95,64,00:13:45
96,60,00:13:50
97,61,00:14:05
98,62,00:14:10
99,63,00:14:15
100,62,00:14:30
101,62,00:14:45
102,63,00:14:50
103,64,00:14:55
104,64,00:15:00
105,64,00:15:05
106,65,00:15:10
107,66,00:15:15
108,66,00:15:30
109,63,00:15:35
110,61,00:15:40
111,64,00:15:50
112,68,00:16:00
113,65,00:16:05
114,63,00:16:15
115,64,00:16:25
116,66,00:16:30
117,64,00:16:35
118,64,00:16:50
119,64,00:16:52
120,62,00:16:57
121,61,00:17:07
122,62,00:17:12
123,59,00:17:17
124,64,00:17:22
125,65,00:17:27
126,67,00:17:32
127,64,00:17:37
128,65,00:17:47
129,64,00:17:57
130,66,00:18:07
131,64,00:18:12
132,63,00:18:17
133,65,00:18:22
134,63,00:18:27
135,65,00:18:32
136,67,00:18:37
137,66,00:18:42
138,64,00:18:47
139,68,00:18:52
140,66,00:19:07
141,67,00:19:12
142,63,00:19:17
143,65,00:19:32
144,68,00:19:42
145,70,00:19:47
146,71,00:19:53
147,67,00:19:58
148,64,00:20:03
149,65,00:20:08
150,64,00:20:13
151,61,00:20:18
152,62,00:20:23
153,64,00:20:28
154,63,00:20:33
155,64,00:20:38
156,64,00:20:43
157,62,00:20:48
158,59,00:20:53
159,61,00:21:03
160,62,00:21:08
161,63,00:21:13
162,63,00:21:18
163,62,00:21:23
164,63,00:21:28
165,65,00:21:33
166,66,00:21:43
167,67,00:21:53
168,65,00:21:58
169,63,00:22:03
170,62,00:22:13
171,64,00:22:18
172,65,00:22:28
173,66,00:22:35
174,66,00:22:50
175,67,00:22:55
176,66,00:23:00
177,67,00:23:10
178,66,00:23:15
179,63,00:23:20
180,64,00:23:35
181,62,00:23:40
182,61,00:23:55
183,62,00:24:00
184,63,00:24:05
185,64,00:24:10
186,63,00:24:20
187,61,00:24:25
188,62,00:24:30
189,64,00:24:35
190,64,00:24:40
191,61,00:24:45
192,62,00:24:50
193,63,00:25:00
194,63,00:25:15
195,62,00:25:25
196,63,00:25:30
197,62,00:25:35
198,61,00:25:40
199,60,00:25:45
200,61,00:25:52
201,59,00:25:57
202,58,00:26:02
203,59,00:26:07
204,61,00:26:12
205,62,00:26:17
206,64,00:26:22
207,61,00:26:32
208,63,00:26:42
209,62,00:26:52
210,62,00:27:07
211,63,00:27:12
212,62,00:27:27
213,61,00:27:32
214,62,00:27:37
215,64,00:27:42
216,62,00:27:57
217,63,00:28:12
218,62,00:28:17
219,63,00:28:22
220,62,00:28:27
221,63,00:28:32
222,64,00:28:37
223,63,00:28:42
224,65,00:28:47
225,64,00:28:52
226,63,00:28:57
227,63,00:29:03
228,64,00:29:08
229,65,00:29:13
230,64,00:29:18
231,63,00:29:33
232,64,00:29:43
233,63,00:29:48
234,64,00:29:53
235,65,00:30:03
236,66,00:30:13
237,64,00:30:28
238,63,00:30:33
239,64,00:30:38
240,63,00:30:48
241,64,00:30:53
242,63,00:31:08
243,64,00:31:13
244,62,00:31:23
245,63,00:31:28
246,62,00:31:33
247,63,00:31:43
248,62,00:31:48
249,64,00:31:53
250,63,00:31:58
251,63,00:32:13
252,63,00:32:28
253,64,00:32:33
254,64,00:32:40
255,63,00:32:45
256,62,00:32:50
257,63,00:32:55
258,61,00:33:10
259,62,00:33:15
260,63,00:33:25
261,64,00:33:30
262,63,00:33:35
263,62,00:33:40
264,63,00:33:45
265,63,00:34:00
266,62,00:34:05
267,61,00:34:10
268,62,00:34:15
269,63,00:34:20
270,63,00:34:35
271,64,00:34:40
272,63,00:34:50
273,64,00:34:55
274,63,00:35:00
275,62,00:35:05
276,61,00:35:15
277,62,00:35:20
278,63,00:35:25
279,64,00:35:35
280,62,00:35:50
281,62,00:35:52
282,62,00:36:07
283,61,00:36:22
284,62,00:36:27
285,63,00:36:32
286,62,00:36:42
287,63,00:36:47
288,62,00:36:57
289,63,00:37:02
290,64,00:37:17
291,63,00:37:27
292,64,00:37:32
293,62,00:37:42
294,63,00:37:52
295,62,00:38:02
296,63,00:38:07
297,62,00:38:12
298,63,00:38:17
299,64,00:38:32
300,61,00:38:37
301,60,00:38:47
302,61,00:38:52
303,62,00:38:57
304,64,00:39:02
305,63,00:39:17
306,64,00:39:32
307,63,00:39:37
308,61,00:39:44
309,62,00:39:54
310,64,00:39:59
311,65,00:40:04
312,64,00:40:19
313,63,00:40:24
314,64,00:40:29
315,65,00:40:39
316,66,00:40:44
317,65,00:40:49
318,64,00:40:59
319,65,00:41:09
320,65,00:41:24
321,64,00:41:29
322,65,00:41:34
323,65,00:41:49
324,64,00:41:54
325,65,00:41:59
326,64,00:42:04
327,65,00:42:09
328,66,00:42:14
329,65,00:42:19
330,63,00:42:24
331,64,00:42:34
332,63,00:42:39
333,64,00:42:49
334,65,00:42:59
335,66,00:43:06
336,64,00:43:11
337,63,00:43:16
338,64,00:43:26
339,65,00:43:31
340,64,00:43:36
341,65,00:43:41
342,64,00:43:46
343,63,00:43:51
344,65,00:43:56
345,65,00:44:11
346,66,00:44:16
347,65,00:44:21
348,64,00:44:31
349,63,00:44:36
350,64,00:44:46
351,63,00:44:51
352,65,00:45:06
353,64,00:45:11
354,62,00:45:16
355,63,00:45:26
356,64,00:45:36
357,65,00:45:41
358,64,00:45:46
359,63,00:45:56
360,62,00:46:06
361,63,00:46:11
362,63,00:46:18
363,64,00:46:23
364,65,00:46:28
365,64,00:46:33
366,63,00:46:38
367,64,00:46:43
368,65,00:46:48
369,67,00:46:53
370,65,00:46:58
371,62,00:47:03
372,63,00:47:18
373,65,00:47:23
374,66,00:47:33
375,64,00:47:43
376,63,00:47:48
377,62,00:47:58
378,63,00:48:03
379,62,00:48:13
380,64,00:48:18
381,65,00:48:28
382,66,00:48:38
383,65,00:48:43
384,63,00:48:48
385,64,00:48:53
386,65,00:48:58
387,66,00:49:03
388,67,00:49:08
389,67,00:49:14
390,66,00:49:19
391,65,00:49:24
392,64,00:49:29
393,66,00:49:44
394,65,00:49:49
395,64,00:49:59
