,Heart Rate,Time
0,26,00:00:00
1,0,00:15:00
2,0,00:30:00
3,0,00:45:00
4,0,01:00:00
5,0,01:15:00
6,0,01:30:00
7,0,01:45:00
8,0,02:00:00
9,0,02:15:00
10,0,02:30:00
11,0,02:45:00
12,0,03:00:00
13,7,03:15:00
14,0,03:30:00
15,0,03:45:00
16,0,04:00:00
17,0,04:15:00
18,0,04:30:00
19,0,04:45:00
20,0,05:00:00
21,0,05:15:00
22,0,05:30:00
23,0,05:45:00
24,0,06:00:00
25,0,06:15:00
26,0,06:30:00
27,0,06:45:00
28,0,07:00:00
29,0,07:15:00
30,0,07:30:00
31,0,07:45:00
32,0,08:00:00
33,0,08:15:00
34,8,08:30:00
35,77,08:45:00
36,169,09:00:00
37,259,09:15:00
38,488,09:30:00
39,0,09:45:00
40,0,10:00:00
41,0,10:15:00
42,151,10:30:00
43,261,10:45:00
44,0,11:00:00
45,0,11:15:00
46,7,11:30:00
47,66,11:45:00
48,968,12:00:00
49,1140,12:15:00
50,951,12:30:00
51,684,12:45:00
52,880,13:00:00
53,660,13:15:00
54,507,13:30:00
55,1200,13:45:00
56,1459,14:00:00
57,464,14:15:00
58,1274,14:30:00
59,1360,14:45:00
60,1455,15:00:00
61,1573,15:15:00
62,684,15:30:00
63,0,15:45:00
64,5,16:00:00
65,0,16:15:00
66,0,16:30:00
67,8,16:45:00
68,0,17:00:00
69,0,17:15:00
70,0,17:30:00
71,15,17:45:00
72,0,18:00:00
73,191,18:15:00
74,109,18:30:00
75,25,18:45:00
76,232,19:00:00
77,411,19:15:00
78,53,19:30:00
79,0,19:45:00
80,6,20:00:00
81,9,20:15:00
82,7,20:30:00
83,0,20:45:00
84,0,21:00:00
85,270,21:15:00
86,0,21:30:00
87,0,21:45:00
88,10,22:00:00
89,0,22:15:00
90,193,22:30:00
91,169,22:45:00
92,0,23:00:00
93,0,23:15:00
94,9,23:30:00
95,50,23:45:00
