,Heart Rate,Time
0,63,00:00:03
1,63,00:00:18
2,63,00:00:21
3,63,00:00:36
4,64,00:00:41
5,64,00:00:56
6,64,00:01:06
7,63,00:01:21
8,63,00:01:36
9,63,00:01:51
10,63,00:02:06
11,65,00:02:11
12,65,00:02:26
13,65,00:02:41
14,65,00:02:56
15,65,00:03:11
16,65,00:03:16
17,65,00:03:31
18,66,00:03:36
19,67,00:03:41
20,68,00:03:46
21,68,00:04:01
22,69,00:04:11
23,70,00:04:16
24,71,00:04:21
25,71,00:04:26
26,71,00:04:41
27,71,00:04:56
28,71,00:05:11
29,71,00:05:13
30,71,00:05:28
31,71,00:05:43
32,71,00:05:58
33,71,00:06:13
34,71,00:06:28
35,72,00:06:33
36,72,00:06:48
37,73,00:06:53
38,73,00:07:08
39,73,00:07:23
40,77,00:07:28
41,79,00:07:38
42,79,00:07:43
43,81,00:07:58
44,81,00:08:13
45,81,00:08:28
46,81,00:08:43
47,85,00:08:48
48,86,00:08:53
49,84,00:08:58
50,84,00:09:13
51,87,00:09:18
52,86,00:09:23
53,86,00:09:38
54,85,00:09:48
55,85,00:10:03
56,85,00:10:06
57,85,00:10:21
58,85,00:10:36
59,84,00:10:46
60,83,00:10:51
61,83,00:11:06
62,83,00:11:21
63,83,00:11:36
64,84,00:11:51
65,85,00:12:01
66,86,00:12:06
67,87,00:12:11
68,90,00:12:16
69,89,00:12:31
70,89,00:12:46
71,89,00:13:01
72,90,00:13:11
73,90,00:13:26
74,90,00:13:41
75,90,00:13:46
76,89,00:13:51
77,88,00:13:56
78,88,00:14:11
79,89,00:14:26
80,89,00:14:41
81,89,00:14:56
82,90,00:15:11
83,90,00:15:14
84,89,00:15:24
85,91,00:15:39
86,93,00:15:49
87,92,00:15:59
88,94,00:16:14
89,95,00:16:24
90,95,00:16:39
91,94,00:16:54
92,94,00:17:09
93,90,00:17:14
94,88,00:17:19
95,86,00:17:24
96,85,00:17:29
97,86,00:17:34
98,86,00:17:44
99,86,00:17:54
100,86,00:17:59
101,85,00:18:09
102,87,00:18:19
103,84,00:18:24
104,82,00:18:29
105,82,00:18:44
106,82,00:18:59
107,82,00:19:14
108,82,00:19:29
109,83,00:19:39
110,85,00:19:46
111,86,00:19:51
112,84,00:20:01
113,78,00:20:06
114,78,00:20:11
115,77,00:20:21
116,76,00:20:26
117,75,00:20:31
118,73,00:20:36
119,74,00:20:46
120,72,00:20:51
121,62,00:20:56
122,61,00:21:01
123,61,00:21:16
124,63,00:21:26
125,71,00:21:31
126,73,00:21:36
127,65,00:21:41
128,60,00:21:46
129,59,00:21:51
130,58,00:21:56
131,57,00:22:01
132,59,00:22:06
