,Heart Rate,Time
0,54,00:00:00
1,36,00:15:00
2,0,00:30:00
3,0,00:45:00
4,0,01:00:00
5,0,01:15:00
6,0,01:30:00
7,0,01:45:00
8,0,02:00:00
9,0,02:15:00
10,0,02:30:00
11,0,02:45:00
12,0,03:00:00
13,0,03:15:00
14,0,03:30:00
15,0,03:45:00
16,6,04:00:00
17,0,04:15:00
18,0,04:30:00
19,0,04:45:00
20,0,05:00:00
21,0,05:15:00
22,0,05:30:00
23,0,05:45:00
24,0,06:00:00
25,0,06:15:00
26,0,06:30:00
27,0,06:45:00
28,199,07:00:00
29,45,07:15:00
30,328,07:30:00
31,943,07:45:00
32,1581,08:00:00
33,1378,08:15:00
34,1341,08:30:00
35,1077,08:45:00
36,168,09:00:00
37,158,09:15:00
38,54,09:30:00
39,18,09:45:00
40,18,10:00:00
41,23,10:15:00
42,0,10:30:00
43,64,10:45:00
44,0,11:00:00
45,0,11:15:00
46,0,11:30:00
47,97,11:45:00
48,4,12:00:00
49,0,12:15:00
50,0,12:30:00
51,0,12:45:00
52,0,13:00:00
53,0,13:15:00
54,0,13:30:00
55,0,13:45:00
56,0,14:00:00
57,0,14:15:00
58,0,14:30:00
59,0,14:45:00
60,0,15:00:00
61,0,15:15:00
62,0,15:30:00
63,0,15:45:00
64,0,16:00:00
65,0,16:15:00
66,0,16:30:00
67,0,16:45:00
68,0,17:00:00
69,0,17:15:00
70,0,17:30:00
71,0,17:45:00
72,0,18:00:00
73,0,18:15:00
74,0,18:30:00
75,0,18:45:00
76,0,19:00:00
77,0,19:15:00
78,0,19:30:00
79,0,19:45:00
80,0,20:00:00
81,0,20:15:00
82,0,20:30:00
83,0,20:45:00
84,0,21:00:00
85,0,21:15:00
86,0,21:30:00
87,0,21:45:00
88,0,22:00:00
89,0,22:15:00
90,0,22:30:00
91,0,22:45:00
92,0,23:00:00
93,0,23:15:00
94,0,23:30:00
95,0,23:45:00
